EQUIPMENTID,LANE_BUNDLE_DIRECTION,WEEK_DAY,HOUR,TOTAL_VOLUME
121752,D,Thu,16,537.2307692307693
121752,D,Thu,17,613.3846153846154
121752,D,Thu,18,689.4615384615385
121752,D,Thu,19,556.0
121752,D,Thu,20,386.61538461538464
121752,D,Thu,21,298.15384615384613
121752,D,Thu,22,197.53846153846155
121752,D,Thu,23,133.69230769230768
121752,D,Tue,0,66.38461538461539
121752,D,Tue,1,31.46153846153846
121752,D,Tue,2,17.692307692307693
121752,D,Tue,3,18.23076923076923
121752,D,Tue,4,33.46153846153846
121752,D,Tue,5,96.61538461538461
121752,D,Tue,6,211.30769230769232
121752,D,Tue,7,1024.4615384615386
121752,D,Tue,8,1630.923076923077
121752,D,Tue,9,969.2307692307693
121752,D,Tue,10,598.4615384615385
121752,D,Tue,11,480.84615384615387
121752,D,Tue,12,495.0769230769231
121752,D,Tue,13,661.0
121752,D,Tue,14,747.0769230769231
121752,D,Tue,15,613.4615384615385
121752,D,Tue,16,574.4615384615385
121752,D,Tue,17,678.0769230769231
121752,D,Tue,18,776.8461538461538
121752,D,Tue,19,618.8461538461538
121752,D,Tue,20,432.84615384615387
121752,D,Tue,21,304.61538461538464
121752,D,Tue,22,212.46153846153845
121752,D,Tue,23,133.3846153846154
121752,D,Wed,0,67.91666666666667
121752,D,Wed,1,33.416666666666664
121752,D,Wed,2,12.916666666666666
121752,D,Wed,3,11.583333333333334
121752,D,Wed,4,29.083333333333332
121752,D,Wed,5,90.75
121752,D,Wed,6,207.75
121752,D,Wed,7,984.75
121752,D,Wed,8,1619.9166666666667
121752,D,Wed,9,883.1666666666666
121752,D,Wed,10,518.6666666666666
121752,D,Wed,11,420.5
121752,D,Wed,12,413.0
121752,D,Wed,13,580.3333333333334
121752,D,Wed,14,622.5833333333334
121752,D,Wed,15,503.9166666666667
121752,D,Wed,16,467.8333333333333
121752,D,Wed,17,567.5
121752,D,Wed,18,661.1666666666666
121752,D,Wed,19,533.0833333333334
121752,D,Wed,20,359.4166666666667
121752,D,Wed,21,267.5833333333333
121752,D,Wed,22,161.25
121752,D,Wed,23,123.25
121754,C,Fri,0,356.3076923076923
121754,C,Fri,1,145.3846153846154
121754,C,Fri,2,77.38461538461539
121754,C,Fri,3,65.0
121754,C,Fri,4,49.07692307692308
121754,C,Fri,5,83.38461538461539
121754,C,Fri,6,242.15384615384616
121754,C,Fri,7,1398.6153846153845
121754,C,Fri,8,2647.923076923077
121754,C,Fri,9,2075.846153846154
121754,C,Fri,10,1496.7692307692307
121754,C,Fri,11,1457.6923076923076
121754,C,Fri,12,1603.3846153846155
121754,C,Fri,13,1674.4615384615386
121754,C,Fri,14,1965.2307692307693
121754,C,Fri,15,1742.6923076923076
121754,C,Fri,16,1898.3846153846155
121754,C,Fri,17,2294.6923076923076
121754,C,Fri,18,2506.923076923077
121754,C,Fri,19,2157.5384615384614
121754,C,Fri,20,1705.3846153846155
121754,C,Fri,21,1154.076923076923
121754,C,Fri,22,920.8461538461538
121754,C,Fri,23,766.9230769230769
121754,C,Mon,0,288.3076923076923
121754,C,Mon,1,128.07692307692307
121754,C,Mon,2,66.3076923076923
121754,C,Mon,3,55.15384615384615
121754,C,Mon,4,50.53846153846154
121754,C,Mon,5,90.61538461538461
121754,C,Mon,6,246.84615384615384
121754,C,Mon,7,1420.1538461538462
121754,C,Mon,8,2660.4615384615386
121754,C,Mon,9,2082.0
121754,C,Mon,10,1480.3076923076924
121754,C,Mon,11,1376.3076923076924
121754,C,Mon,12,1464.2307692307693
121754,C,Mon,13,1661.5384615384614
121754,C,Mon,14,1881.4615384615386
121754,C,Mon,15,1638.3846153846155
121754,C,Mon,16,1731.5384615384614
121754,C,Mon,17,2224.3076923076924
121754,C,Mon,18,2514.769230769231
121754,C,Mon,19,1977.3846153846155
121754,C,Mon,20,1283.076923076923
121754,C,Mon,21,915.2307692307693
121754,C,Mon,22,709.6153846153846
121754,C,Mon,23,570.0
121754,C,Thu,0,373.46153846153845
121754,C,Thu,1,193.46153846153845
121754,C,Thu,2,112.38461538461539
121754,C,Thu,3,87.38461538461539
121754,C,Thu,4,76.53846153846153
121754,C,Thu,5,96.38461538461539
121754,C,Thu,6,247.30769230769232
121754,C,Thu,7,1379.2307692307693
121754,C,Thu,8,2578.076923076923
121754,C,Thu,9,2028.076923076923
121754,C,Thu,10,1402.923076923077
121754,C,Thu,11,1276.923076923077
121754,C,Thu,12,1451.2307692307693
121754,C,Thu,13,1560.2307692307693
121754,C,Thu,14,1751.7692307692307
121754,C,Thu,15,1552.2307692307693
121754,C,Thu,16,1658.3846153846155
121754,C,Thu,17,2113.5384615384614
121754,C,Thu,18,2382.153846153846
121754,C,Thu,19,1954.4615384615386
121754,C,Thu,20,1378.076923076923
121754,C,Thu,21,950.1538461538462
121754,C,Thu,22,752.6923076923077
121754,C,Thu,23,606.4615384615385
121754,C,Tue,0,337.15384615384613
121754,C,Tue,1,136.0
121754,C,Tue,2,81.23076923076923
121754,C,Tue,3,59.15384615384615
121754,C,Tue,4,61.92307692307692
121754,C,Tue,5,87.38461538461539
121754,C,Tue,6,241.30769230769232
121754,C,Tue,7,1410.0
121754,C,Tue,8,2595.4615384615386
121754,C,Tue,9,2039.6153846153845
121754,C,Tue,10,1462.076923076923
121754,C,Tue,11,1373.6923076923076
121754,C,Tue,12,1490.3076923076924
121754,C,Tue,13,1593.5384615384614
121754,C,Tue,14,1808.3846153846155
121754,C,Tue,15,1582.4615384615386
121754,C,Tue,16,1695.5384615384614
121754,C,Tue,17,2221.6923076923076
121754,C,Tue,18,2527.3846153846152
121754,C,Tue,19,1999.1538461538462
121754,C,Tue,20,1346.3846153846155
121754,C,Tue,21,927.3076923076923
121754,C,Tue,22,704.2307692307693
121754,C,Tue,23,593.8461538461538
121754,C,Wed,0,330.0
121754,C,Wed,1,139.33333333333334
121754,C,Wed,2,89.25
121754,C,Wed,3,75.5
121754,C,Wed,4,57.583333333333336
121754,C,Wed,5,82.41666666666667
121754,C,Wed,6,245.83333333333334
121754,C,Wed,7,1459.4166666666667
121754,C,Wed,8,2742.9166666666665
121754,C,Wed,9,2164.1666666666665
121754,C,Wed,10,1497.6666666666667
121754,C,Wed,11,1317.75
121754,C,Wed,12,1403.6666666666667
121754,C,Wed,13,1491.6666666666667
121754,C,Wed,14,1749.0
121754,C,Wed,15,1603.4166666666667
121754,C,Wed,16,1683.8333333333333
121754,C,Wed,17,2226.5
121754,C,Wed,18,2591.4166666666665
121754,C,Wed,19,2065.5
121754,C,Wed,20,1375.5
121754,C,Wed,21,900.6666666666666
121754,C,Wed,22,745.1666666666666
121754,C,Wed,23,612.1666666666666
121754,D,Fri,0,383.15384615384613
121754,D,Fri,1,170.92307692307693
121754,D,Fri,2,87.15384615384616
121754,D,Fri,3,56.69230769230769
121754,D,Fri,4,62.30769230769231
121754,D,Fri,5,119.84615384615384
121754,D,Fri,6,254.92307692307693
121754,D,Fri,7,1078.6153846153845
121754,D,Fri,8,2641.153846153846
121754,D,Fri,9,2099.6923076923076
121754,D,Fri,10,1494.4615384615386
121754,D,Fri,11,1505.076923076923
121754,D,Fri,12,1856.5384615384614
121754,D,Fri,13,1902.6153846153845
121754,D,Fri,14,2105.3846153846152
121754,D,Fri,15,2025.7692307692307
121754,D,Fri,16,2312.6923076923076
121754,D,Fri,17,2801.076923076923
121754,D,Fri,18,3245.3846153846152
121754,D,Fri,19,3100.5384615384614
121754,D,Fri,20,2331.5384615384614
121754,D,Fri,21,1426.7692307692307
121754,D,Fri,22,1086.5384615384614
121754,D,Fri,23,924.0769230769231
121754,D,Mon,0,282.9230769230769
121754,D,Mon,1,127.46153846153847
121754,D,Mon,2,68.84615384615384
121754,D,Mon,3,48.30769230769231
121754,D,Mon,4,49.07692307692308
121754,D,Mon,5,119.38461538461539
121754,D,Mon,6,261.84615384615387
121754,D,Mon,7,1115.5384615384614
121754,D,Mon,8,2686.846153846154
121754,D,Mon,9,2124.4615384615386
121754,D,Mon,10,1486.5384615384614
121754,D,Mon,11,1444.3076923076924
121754,D,Mon,12,1754.1538461538462
121754,D,Mon,13,1825.6923076923076
121754,D,Mon,14,1982.076923076923
121754,D,Mon,15,1849.6153846153845
121754,D,Mon,16,2036.0
121754,D,Mon,17,2710.923076923077
121754,D,Mon,18,3294.3076923076924
121754,D,Mon,19,3035.846153846154
121754,D,Mon,20,1798.5384615384614
121754,D,Mon,21,1126.3076923076924
121754,D,Mon,22,825.3846153846154
121754,D,Mon,23,640.4615384615385
121754,D,Thu,0,405.0
121754,D,Thu,1,235.53846153846155
121754,D,Thu,2,143.53846153846155
121754,D,Thu,3,96.76923076923077
121754,D,Thu,4,87.38461538461539
121754,D,Thu,5,135.23076923076923
121754,D,Thu,6,264.15384615384613
121754,D,Thu,7,1084.1538461538462
121754,D,Thu,8,2597.923076923077
121754,D,Thu,9,2001.076923076923
121754,D,Thu,10,1400.4615384615386
121754,D,Thu,11,1409.5384615384614
121754,D,Thu,12,1713.3076923076924
121754,D,Thu,13,1739.7692307692307
121754,D,Thu,14,1835.3846153846155
121754,D,Thu,15,1773.1538461538462
121754,D,Thu,16,1983.8461538461538
121754,D,Thu,17,2617.846153846154
121754,D,Thu,18,3128.846153846154
121754,D,Thu,19,2838.923076923077
121754,D,Thu,20,1882.0
121754,D,Thu,21,1189.5384615384614
121754,D,Thu,22,885.6923076923077
121754,D,Thu,23,698.0
121754,D,Tue,0,350.0769230769231
121754,D,Tue,1,147.07692307692307
121754,D,Tue,2,90.15384615384616
121754,D,Tue,3,58.61538461538461
121754,D,Tue,4,65.07692307692308
121754,D,Tue,5,113.84615384615384
121754,D,Tue,6,251.53846153846155
121754,D,Tue,7,1084.6923076923076
121754,D,Tue,8,2611.769230769231
121754,D,Tue,9,2043.2307692307693
121754,D,Tue,10,1406.8461538461538
121754,D,Tue,11,1426.7692307692307
121754,D,Tue,12,1739.923076923077
121754,D,Tue,13,1777.7692307692307
121754,D,Tue,14,1911.7692307692307
121754,D,Tue,15,1834.5384615384614
121754,D,Tue,16,2002.1538461538462
121754,D,Tue,17,2603.923076923077
121754,D,Tue,18,3231.6153846153848
121754,D,Tue,19,2963.153846153846
121754,D,Tue,20,1857.5384615384614
121754,D,Tue,21,1160.6923076923076
121754,D,Tue,22,922.0769230769231
121754,D,Tue,23,714.7692307692307
121754,D,Wed,0,366.3333333333333
121754,D,Wed,1,143.33333333333334
